source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3165429,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165429,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:56:26.769747,Romeu Zema Airport,international,-19.5632,-46.9604,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-46.9604_-19.5632
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165495,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.566109,Piloto Osvaldo Marques Dias Airport,international,-9.866389,-56.106298,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-56.106298_-9.866389
3165523,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-07-31 00:00:00,other,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165523,BRA,international-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:57:35.718659,Aripuanã Airport,international,-10.187375,-59.457469,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-59.457469_-10.187375
3165534,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2024-02-27 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165534,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.718659,Aracaju - Santa Maria International Airport,international,-10.984,-37.070301,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-37.070301_-10.984
3165559,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165559,BRA,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alegrete Novo Airport,international,-29.8127002716,-55.8933982849,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-55.8933982849_-29.8127002716
3165561,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
3165561,BRA,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
3165561,BRA,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
3165561,BRA,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
3165561,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
3165561,BRA,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:35.864589,Alenquer Municipal Airport,international,-1.917,-54.7231,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-54.7231_-1.917
